,Participant ID,Urban/Rural,Age Group,Marital Status,sex,Kids under 14,Feeling Rushed,Sleep duration
8643,18643,1,3,6,2,0,2,405
8644,18644,1,2,6,2,2,1,540
8645,18645,1,6,1,2,0,4,630
8646,18646,2,6,1,1,0,2,780
8647,18647,1,5,1,2,0,3,640
8648,18648,1,5,1,1,0,1,330
8649,18649,1,2,1,1,1,3,420
8650,18650,1,2,6,1,0,3,480
8651,18651,1,5,6,1,0,4,375
8652,18652,1,5,1,2,0,2,435
8653,18653,1,4,1,2,0,3,500
8654,18654,2,5,5,2,0,2,540
8655,18655,1,4,3,2,0,2,390
8656,18656,2,5,1,2,0,1,440
8657,18657,1,7,3,2,0,5,600
8658,18658,1,3,2,1,0,6,455
8659,18659,2,7,3,2,0,4,560
8660,18660,1,7,3,2,0,6,645
8661,18661,1,5,1,2,0,3,480
8662,18662,2,6,1,1,0,4,750
8663,18663,1,4,1,2,3,1,470
8664,18664,1,5,6,1,0,1,195
8665,18665,2,3,1,1,3,1,430
8666,18666,1,3,4,2,3,1,740
8667,18667,1,1,6,2,1,4,870
8668,18668,2,4,1,2,1,2,690
8669,18669,1,4,1,1,0,6,630
8670,18670,1,5,3,2,0,2,605
8671,18671,1,1,6,2,0,3,430
8672,18672,2,3,6,1,0,2,525
8673,18673,1,3,6,1,0,1,590
8674,18674,1,5,5,2,0,3,480
8675,18675,1,3,4,2,0,3,540
8676,18676,1,6,5,2,0,2,540
8677,18677,1,7,5,2,0,6,150
8678,18678,2,7,1,1,0,4,570
8679,18679,1,4,5,2,0,1,440
8680,18680,1,3,6,1,0,2,540
8681,18681,1,6,1,2,0,6,570
8682,18682,1,5,2,1,0,2,840
8683,18683,1,7,1,2,0,6,390
8684,18684,2,5,1,1,0,5,510
8685,18685,2,5,5,2,0,2,540
8686,18686,1,4,1,2,0,2,525
8687,18687,2,1,6,2,0,4,390
8688,18688,2,6,3,1,0,3,210
8689,18689,1,5,6,2,0,2,275
8690,18690,1,6,1,1,0,5,150
8691,18691,1,6,5,2,0,6,330
8692,18692,2,2,2,1,0,1,440
8693,18693,1,6,1,2,0,1,585
8694,18694,1,4,1,1,1,2,570
8695,18695,1,5,5,2,0,1,480
8696,18696,1,2,6,1,0,2,510
8697,18697,2,7,4,1,0,2,570
8698,18698,2,3,2,2,0,3,480
8699,18699,1,6,1,1,0,3,510
8700,18700,1,4,6,1,0,3,1085
8701,18701,1,7,2,2,0,4,605
8702,18702,1,2,2,2,0,1,420
8703,18703,1,1,6,2,3,3,540
8704,18704,2,6,1,2,0,4,515
8705,18705,1,3,6,1,0,2,390
8706,18706,1,3,1,2,2,1,400
8707,18707,1,5,1,1,0,2,510
8708,18708,1,3,2,2,1,1,570
8709,18709,1,4,6,2,0,3,595
8710,18710,1,4,1,1,2,2,510
8711,18711,1,1,6,1,0,3,840
8712,18712,2,4,1,1,0,1,450
8713,18713,1,1,6,2,0,3,630
8714,18714,2,1,6,2,0,1,610
8715,18715,1,5,2,2,0,3,570
8716,18716,1,3,6,2,0,2,480
8717,18717,1,4,1,2,0,4,840
8718,18718,1,4,6,2,0,2,450
8719,18719,2,2,6,1,0,2,630
8720,18720,1,5,1,1,0,4,495
8721,18721,1,6,1,1,0,4,630
8722,18722,1,4,1,2,0,2,510
8723,18723,2,5,4,2,0,2,610
8724,18724,1,2,1,2,2,1,510
8725,18725,1,3,1,1,2,1,495
8726,18726,1,4,1,2,0,2,450
